2025-07-30 19:17:35,694 | historical_data | INFO | historical_data.py:484 | get_historical_gap_up_data() | 📊 Fetching historical gap-up data for FTFT from 2024-07-30 to 2025-07-30 (365 days)
2025-07-30 19:17:35,695 | historical_data | INFO | historical_data.py:491 | get_historical_gap_up_data() | Cache status for FTFT: {'ticker': 'FTFT', 'cached': False, 'total_records': 0, 'last_updated': None, 'data_range': None}
2025-07-30 19:17:35,726 | historical_cache | INFO | historical_cache.py:99 | get_cached_data() | 📊 Retrieved 0 cached records for FTFT
2025-07-30 19:17:35,727 | historical_data | INFO | historical_data.py:495 | get_historical_gap_up_data() | DEBUG: Retrieved 0 cached records for FTFT
2025-07-30 19:17:35,727 | historical_data | INFO | historical_data.py:681 | get_historical_gap_up_data() | DEBUG: No cached data found for FTFT, will fetch from Polygon
2025-07-30 19:17:35,727 | historical_data | INFO | historical_data.py:684 | get_historical_gap_up_data() | 🔄 Fetching fresh batch data from Polygon for FTFT
2025-07-30 19:17:35,780 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | _new_conn() | Starting new HTTPS connection (1): api.polygon.io:443
2025-07-30 19:17:36,113 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | _make_request() | https://api.polygon.io:443 "GET /v2/aggs/ticker/FTFT/range/1/day/2024-07-30/2025-07-30?adjusted=true HTTP/1.1" 200 None
2025-07-30 19:17:36,115 | performance | INFO | logging_config.py:154 | log_performance() | ⏱️ batch_daily_data | Duration: 0.388s | Details: {'ticker': 'FTFT', 'start_date': '2024-07-30', 'end_date': '2025-07-30', 'data_points': 251}
2025-07-30 19:17:36,117 | historical_data | INFO | historical_data.py:373 | get_batch_daily_data() | 📊 Retrieved 251 days of batch data for FTFT
2025-07-30 19:17:36,179 | historical_data | DEBUG | historical_data.py:89 | get_premarket_high_low_data() | 🔍 Fetching premarket data for FTFT on 2025-03-02 (4:00-9:30 AM EST)
2025-07-30 19:17:36,180 | urllib3.connectionpool | DEBUG | connectionpool.py:1049 | _new_conn() | Starting new HTTPS connection (1): api.polygon.io:443
2025-07-30 19:17:36,404 | urllib3.connectionpool | DEBUG | connectionpool.py:544 | _make_request() | https://api.polygon.io:443 "GET /v2/aggs/ticker/FTFT/range/1/minute/1740906000000/1740925800000?limit=50000 HTTP/1.1" 200 0
